port,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2007,2010
Albany (NY),10262.0,11328.0,9610.0,9260.0,10146.0,9591.0,9832.0,9658.0,8712.0,5473.0,5154.0,5265.0,5820.0,5725.0,6871.0,7375.0,8061.0,7325.0,7117.0,5967.0,5674.0,6053.0,6107.0,5803.0,5768.0,6819.0,6723.0,6402.0,6127.0,7143.0,6810.0
Alpena (MI),3380.0,2854.0,3082.0,2856.0,2835.0,3005.0,3204.0,2942.0,2737.0,2171.0,1821.0,2178.0,2423.0,2382.0,2393.0,1969.0,2128.0,2397.0,2255.0,2284.0,2486.0,2547.0,2672.0,2767.0,2345.0,2901.0,3078.0,3947.0,3405.0,3477.0,2148.0
Anacortes (WA),3316.0,2896.0,3972.0,4852.0,7492.0,8968.0,9965.0,9599.0,9166.0,9851.0,9439.0,8361.0,8650.0,10208.0,12747.0,13687.0,13638.0,13169.0,15438.0,14481.0,15260.0,13124.0,12950.0,13110.0,13844.0,13904.0,11948.0,16232.0,18035.0,14341.0,8455.0
Anchorage (AK),2058.0,2625.0,2340.0,2936.0,2932.0,2267.0,2226.0,1639.0,1752.0,2260.0,1998.0,2424.0,2383.0,1939.0,1332.0,2105.0,2294.0,2253.0,1706.0,2309.0,2540.0,2470.0,2559.0,3222.0,3401.0,3424.0,3589.0,3701.0,3157.0,2633.0,2770.0
Ashtabula (OH),14684.0,16732.0,16566.0,19192.0,16465.0,15147.0,17428.0,21478.0,18655.0,9948.0,6832.0,8395.0,9243.0,7039.0,7164.0,8888.0,10335.0,10322.0,11852.0,10638.0,10519.0,8979.0,10368.0,10010.0,9523.0,11929.0,15602.0,10495.0,12322.0,5580.0,6346.0
Baltimore (MD),45799.0,53787.0,59891.0,52661.0,52437.0,44756.0,46809.0,51445.0,50042.0,49805.0,40831.0,31574.0,37307.0,36425.0,35432.0,37489.0,41926.0,44884.0,39538.0,37745.0,37656.0,37170.0,41450.0,44696.0,43552.0,40029.0,40114.0,37287.0,40832.0,41251.0,9171.0
Barbers Point (HI),3420.0,3945.0,4360.0,5186.0,6593.0,6631.0,6307.0,6155.0,5726.0,5590.0,5707.0,7051.0,6565.0,6752.0,5629.0,7135.0,7511.0,7374.0,8034.0,9002.0,8824.0,9357.0,9022.0,8233.0,8745.0,8162.0,6658.0,8707.0,7141.0,11295.0,55537.0
Baton Rouge (LA),52903.0,53569.0,59126.0,60226.0,66703.0,70008.0,74570.0,76703.0,79347.0,72045.0,68556.0,68395.0,66199.0,70716.0,77184.0,73401.0,78857.0,82400.0,78132.0,87630.0,84699.0,85079.0,86246.0,83613.0,81009.0,84023.0,66835.0,63729.0,65631.0,54624.0,76959.0
Beaumont (TX),32391.0,34491.0,33504.0,30583.0,43939.0,48919.0,52770.0,58137.0,52261.0,40359.0,33287.0,36002.0,33004.0,26842.0,27454.0,29759.0,31947.0,31668.0,26729.0,22383.0,22702.0,25410.0,21201.0,20937.0,35705.0,48665.0,60052.0,69406.0,82653.0,81384.0,64.0
Bellingham (WA),2184.0,3565.0,1946.0,1883.0,1761.0,1718.0,1557.0,2132.0,2047.0,1482.0,1978.0,1332.0,1269.0,1327.0,1776.0,2104.0,1867.0,1769.0,1303.0,1482.0,1383.0,1223.0,1343.0,1291.0,1419.0,1555.0,1244.0,1526.0,541.0,64.0,19091.0
Boston(MA),26483.0,27057.0,25729.0,24720.0,26172.0,25975.0,26074.0,26343.0,22034.0,20306.0,17594.0,17036.0,19889.0,17269.0,21036.0,19830.0,20641.0,18989.0,21902.0,18562.0,19208.0,19448.0,18870.0,16744.0,20104.0,20893.0,21222.0,22171.0,20751.0,22370.0,4535.0
Bridgeport (CT),3472.0,3554.0,3295.0,2860.0,3265.0,3495.0,3736.0,3243.0,3195.0,3213.0,2723.0,2987.0,3007.0,2411.0,2863.0,3036.0,2670.0,2646.0,2852.0,3268.0,2948.0,2942.0,3054.0,3447.0,4862.0,5340.0,4626.0,4154.0,4255.0,7628.0,4616.0
Brownsville (TX),3875.0,6011.0,2837.0,2829.0,2585.0,2130.0,2164.0,2508.0,2570.0,2810.0,2200.0,1339.0,1481.0,1443.0,1213.0,1234.0,1237.0,1361.0,1372.0,1610.0,1594.0,1735.0,3396.0,2656.0,2401.0,2284.0,2799.0,2487.0,3268.0,4506.0,2438.0
Charleston (SC),46838.0,47381.0,45886.0,42589.0,40575.0,36136.0,39691.0,10056.0,2707.0,8845.0,7105.0,7693.0,8299.0,9074.0,9344.0,9166.0,10250.0,9923.0,2992.0,9464.0,9650.0,9503.0,10830.0,11172.0,3567.0,3147.0,3795.0,3916.0,4247.0,22616.0,17986.0
Christiansted (VI),14684.0,16732.0,16566.0,19192.0,16465.0,15147.0,17428.0,19470.0,32993.0,213.0,393.0,657.0,267.0,380.0,495.0,486.0,994.0,1493.0,22541.0,745.0,1046.0,1202.0,1543.0,287.0,27886.0,24868.0,25958.0,26602.0,23929.0,364.0,10791.0
Detroit (MI),37896.0,48158.0,40345.0,33607.0,32655.0,33419.0,45841.0,2047.0,39107.0,17839.0,13176.0,14955.0,17531.0,15612.0,15219.0,14130.0,15331.0,20701.0,62020.0,14321.0,16303.0,17422.0,18718.0,18661.0,80460.0,86844.0,86180.0,77987.0,83125.0,14943.0,1069.0
Drummond Island (MI),1360.0,1283.0,903.0,1218.0,1158.0,955.0,1130.0,47725.0,19268.0,1479.0,815.0,1130.0,1091.0,1187.0,1301.0,1516.0,535.0,820.0,17735.0,786.0,1496.0,2205.0,1474.0,1606.0,18604.0,18135.0,19454.0,16948.0,17295.0,1533.0,36598.0
Duluth/Superior (MI/WI),5219.0,4920.0,4321.0,4367.0,4143.0,4589.0,6064.0,834.0,1489.0,39426.0,27436.0,30094.0,37256.0,28817.0,29155.0,36463.0,40002.0,40803.0,758.0,37716.0,39304.0,37679.0,41819.0,45049.0,1682.0,1560.0,1582.0,1732.0,1358.0,46498.0,582.0
Freeport (TX),2824.0,2724.0,2531.0,2608.0,2341.0,2477.0,2458.0,1382.0,351.0,23357.0,15034.0,15680.0,15147.0,12968.0,13373.0,14003.0,15156.0,15210.0,531.0,15666.0,14953.0,14025.0,17450.0,19662.0,648.0,533.0,572.0,644.0,630.0,29598.0,26676.0
Galveston (TX),1198.0,989.0,821.0,922.0,982.0,1095.0,1145.0,5131.0,20131.0,11268.0,9350.0,10178.0,11753.0,7792.0,7988.0,8684.0,12355.0,11838.0,14494.0,10858.0,12318.0,9755.0,10257.0,10465.0,24571.0,26281.0,29014.0,28076.0,30985.0,9791.0,13949.0
Hampton Roads (VA),71431.0,88518.0,89106.0,83674.0,89898.0,104291.0,111936.0,7464.0,2299.0,71179.0,78093.0,59154.0,63435.0,69265.0,66052.0,62965.0,71967.0,77106.0,12825.0,944.0,1249.0,1420.0,1842.0,2023.0,1990.0,1486.0,1488.0,1406.0,1251.0,2610.0,1910.0
Hilo (HI),173.0,1109.0,984.0,1007.0,1452.0,1876.0,959.0,1189.0,1242.0,1442.0,1382.0,1522.0,1571.0,1319.0,1199.0,1366.0,1456.0,1569.0,1677.0,86315.0,79064.0,65711.0,62746.0,72508.0,2176.0,2130.0,2353.0,2333.0,1551.0,1805.0,2080.0
Hueneme (CA),1298.0,1043.0,982.0,1109.0,1276.0,1301.0,1922.0,18419.0,108973.0,820.0,873.0,1152.0,4294.0,1412.0,1506.0,513.0,623.0,749.0,11341.0,131514.0,137664.0,141477.0,143663.0,135231.0,12010.0,12704.0,13723.0,12259.0,15797.0,1091.0,1009.0
Humboldt Bay (CA),1468.0,1382.0,1252.0,1549.0,1285.0,859.0,1013.0,15278.0,1406.0,2380.0,1893.0,1954.0,2509.0,1950.0,263.0,1495.0,3734.0,1763.0,1292.0,416.0,474.0,696.0,814.0,1076.0,1395.0,1362.0,1183.0,1330.0,1024.0,216064.0,227133.0
Huron (OH),303.0,386.0,291.0,280.0,264.0,318.0,502.0,1473.0,1324.0,18375.0,12304.0,14475.0,14569.0,13549.0,14014.0,529.0,523.0,590.0,126178.0,2301.0,1311.0,994.0,1407.0,1220.0,148183.0,165456.0,169070.0,158828.0,191419.0,1471.0,1382.0
Jacksonville (FL),17029.0,16505.0,16565.0,17463.0,20221.0,25401.0,26606.0,448.0,16899.0,1552.0,1484.0,1843.0,1889.0,1517.0,1627.0,13497.0,15823.0,15185.0,1600.0,13767.0,15326.0,15546.0,16145.0,15700.0,1197.0,1175.0,1072.0,1302.0,1063.0,1143.0,717.0
Lorain (OH),27291.0,30518.0,33154.0,32453.0,35379.0,35944.0,36261.0,3575.0,30151.0,190.0,110.0,163.0,351.0,271.0,382.0,14372.0,17476.0,14568.0,40883.0,7806.0,6309.0,5476.0,6442.0,6167.0,49100.0,51279.0,53568.0,50742.0,70150.0,85940.0,75435.0
Marine City (MI),2836.0,2923.0,2508.0,1945.0,2271.0,1912.0,1952.0,2663.0,282.0,322.0,317.0,255.0,253.0,314.0,400.0,419.0,383.0,328.0,13967.0,929.0,846.0,966.0,1093.0,1150.0,15978.0,15955.0,14166.0,12968.0,48192.0,65502.0,62387.0
Monroe (MI),2027.0,990.0,1216.0,459.0,200.0,536.0,869.0,163621.0,2769.0,907.0,808.0,1009.0,945.0,933.0,745.0,1178.0,1123.0,1490.0,4296.0,41343.0,40482.0,43960.0,44997.0,50972.0,395.0,1142.0,1282.0,1357.0,399.0,363.0,135.0
Muskegon (MI),779.0,931.0,902.0,848.0,1014.0,1346.0,1216.0,794.0,1235.0,9085.0,7935.0,8266.0,10625.0,9349.0,10065.0,1202.0,1544.0,1877.0,41136.0,5237.0,4440.0,3999.0,4195.0,4620.0,2858.0,6612.0,7392.0,7723.0,3539.0,4019.0,2435.0
Nawiliwili (HI),1115.0,1284.0,1097.0,1023.0,1026.0,682.0,734.0,632.0,785.0,1782.0,1245.0,1108.0,1238.0,1028.0,901.0,916.0,876.0,1038.0,1585.0,1358.0,1562.0,1635.0,2004.0,1825.0,50864.0,3265.0,3108.0,3531.0,54157.0,64494.0,55713.0
New London (CT),2015.0,2279.0,2239.0,2262.0,2548.0,3105.0,3064.0,1432.0,2530.0,7389.0,6985.0,7131.0,8812.0,7953.0,8248.0,1020.0,1332.0,1737.0,959.0,8154.0,8430.0,8740.0,9471.0,8813.0,2172.0,5201.0,5260.0,4636.0,2435.0,2086.0,1479.0
Olympia (WA),2849.0,2919.0,2990.0,2727.0,3241.0,3283.0,4868.0,35317.0,721.0,2233.0,1697.0,2387.0,2104.0,2042.0,2322.0,911.0,1676.0,1196.0,62740.0,10356.0,13211.0,12734.0,12914.0,13224.0,2049.0,9594.0,9193.0,8687.0,1771.0,622.0,977.0
Orange (TX),21708.0,24931.0,27800.0,26598.0,30687.0,30754.0,33475.0,480.0,567.0,1583.0,2404.0,2319.0,1957.0,2126.0,3507.0,772.0,658.0,727.0,140020.0,945.0,714.0,924.0,1514.0,2166.0,83726.0,1915.0,2036.0,1734.0,90768.0,76046.0,72411.0
Oswego (NY),11183.0,12542.0,11557.0,10522.0,12021.0,11828.0,11964.0,5844.0,860.0,26363.0,36538.0,39740.0,46795.0,37992.0,45767.0,448.0,531.0,746.0,10290.0,849.0,553.0,579.0,686.0,693.0,131601.0,89442.0,88768.0,87511.0,138670.0,157202.0,139198.0
Palm Beach (FL),4856.0,4527.0,4931.0,4343.0,4256.0,3895.0,4678.0,32773.0,1625.0,1931.0,3647.0,3949.0,3620.0,3488.0,4098.0,2508.0,2579.0,2519.0,1265.0,818.0,582.0,506.0,474.0,435.0,11230.0,135266.0,137544.0,133715.0,12176.0,16912.0,18610.0
Pascagoula (MS),30683.0,28844.0,27606.0,27566.0,25374.0,18326.0,22165.0,4563.0,25434.0,43955.0,40069.0,38953.0,42063.0,41440.0,43211.0,27825.0,28528.0,31546.0,951.0,2938.0,2734.0,2586.0,2503.0,2891.0,616.0,1997.0,1423.0,1313.0,681.0,682.0,684.0
Philadelphia (PA),2188.0,2315.0,2364.0,2943.0,3143.0,3500.0,3305.0,13262.0,47883.0,1975.0,1811.0,2086.0,2643.0,2927.0,3310.0,37337.0,37827.0,36060.0,2548.0,4760.0,1690.0,1650.0,1466.0,1623.0,2294.0,640.0,471.0,805.0,2950.0,3117.0,2374.0
Plaquemines (LA),3450.0,3741.0,3118.0,3847.0,6841.0,5215.0,7957.0,29146.0,38513.0,26038.0,19946.0,18338.0,16430.0,15755.0,18880.0,45935.0,52214.0,48284.0,26479.0,37257.0,39667.0,42708.0,40746.0,40634.0,3124.0,2922.0,3149.0,3352.0,2573.0,2846.0,2891.0
Ponce (PR),9200.0,10236.0,8856.0,8266.0,8578.0,8624.0,8459.0,3520.0,1145.0,12031.0,11488.0,11463.0,11822.0,11649.0,11536.0,671.0,595.0,651.0,1593.0,53782.0,58473.0,53110.0,64759.0,72897.0,29343.0,2878.0,2683.0,2491.0,28710.0,35195.0,37276.0
