Port,Short tons 2006
"Toledo, OH.1","11,162"
"New Haven, CT","10,897"
Port Lavaca (TX),"10,808"
"Barbers Point, Oahu, HI","10,724"
"New Castle, DE","9,386"
"Galveston, TX","9,357"
"Providence, RI","9,267"
"Kalama, WA","9,124"
"Gary, IN","9,112"
"Presque Isle, MI","9,074"
"Burns Waterway Harbor, IN","8,954"
"Wilmington, NC","8,390"
"Albany, NY","8,147"
"Miami, FL","8,130"
"Vancouver, WA","8,049"
"Camden-Gloucester, NJ","7,447"
"Louisville, KY","7,373"
"Conneaut, OH","7,368"
"Stoneport, MI","6,865"
"Ashtabula, OH","6,822"
"Calcite, MI","6,428"
"Wilmington, DE","6,278"
"Nikishka, AK","6,172"
"Mount Vernon, IN","5,739"
"Escanaba, MI","5,689"
"Port Inland, MI","5,523"
"Bridgeport, CT","5,389"
"Brownsville, TX","5,309"
"Silver Bay, MN","5,188"
"Longview, WA","5,048"
"St. Clair, MI","4,901"
"Portsmouth, NH","4,823"
"Kahului, Maui, HI","4,794"
"St. Paul, MN","4,656"
"Nashville, TN","4,504"
"Vicksburg, MS","4,197"
"Port Manatee, FL","4,119"
"Port Canaveral, FL","4,072"
"Marine City, MI","4,019"
"Milwaukee, WI","4,007"
"Sandusky, OH","3,790"
"Marblehead, OH","3,758"
"Morehead City, NC","3,733"
"Lorain, OH","3,617"
"Kansas City, MO","3,580"
"Panama City, FL","3,564"
"Victoria, TX","3,556"
"Penn Manor, PA","3,405"
"Fall River, MA","3,364"
"Alpena, MI","3,330"
"San Diego, CA","3,259"
"Stockton, CA","3,042"
"Anchorage, AK","2,927"
"Kivilina, AK","2,921"
"Palm Beach, FL","2,765"
"Kawaihae Harbor, HI","2,728"
"Green Bay, WI","2,618"
"Chattanooga, TN","2,590"
"Port Dolomite, MI","2,582"
"Ponce, PR","2,553"
"Brunswick, GA","2,499"
"Greenville, MS","2,489"
"Fairport Harbor, OH","2,411"
"Hilo, HI","2,408"
"Muskegon, MI","2,230"
"Coos Bay, OR","2,144"
"San Francisco, CA","2,133"
"Taconite, MN","2,089"
"Tulsa, Port of Catoosa, OK","2,073"
"Everett, WA","2,070"
"Searsport, ME","2,040"
"Nawiliwili, Kauai, HI","1,864"
"Guntersville, AL","1,770"
"Port Hueneme, CA","1,612"
"Helena, AR","1,580"
"Chester, PA","1,577"
"Buffalo, NY","1,558"
"Redwood City, CA","1,523"
"Buffington, IN","1,489"
"Gulfport, MS","1,473"
"Charlevoix, MI","1,420"
"Richmond, VA","1,387"
"Monroe, MI","1,379"
"Pensacola, FL","1,332"
"Marysville, MI","1,316"
"Grays Harbor, WA","1,281"
"Trenton, NJ","1,262"
"Drummond Island, MI.1","1,238"
"Port Angeles, WA","1,196"
"Hempstead, NY","1,152"
"Kelleys Island, OH","1,116"
"Newport, RI","1,093"
"Minneapolis, MN","1,092"
"Erie, PA","1,074"
"Hopewell, VA","1,068"
"Salem, MA","1,064"
"Christiansted, St Croix, VI","1,013"
"Grand Haven, MI",988
"Olympia, WA",982
"Humboldt, CA",956
"Port Jefferson, NY",920
"South Louisiana, LA","225,489"
"Houston, TX","222,147"
New York/New Jersey,"157,630"
"Long Beach, CA","84,394"
"Beaumont, TX","79,486"
"Corpus Christi, TX","77,557"
Huntington - Tristate,"77,158"
"New Orleans, LA","76,901"
"Los Angeles, CA","65,978"
"Mobile, AL","59,832"
"Lake Charles, LA","58,410"
"Baton Rouge, LA","56,343"
"Plaquemines, LA","55,890"
"Texas City, TX","48,875"
"Duluth-Superior, MN/WI","46,974"
"Tampa, FL","46,231"
"Hampton Roads, VA","45,573"
"Baltimore, MD","42,439"
"Pittsburgh, PA","41,982"
"Paulsboro, NJ","39,244"
"Philadelphia, PA","38,597"
"Pascagoula, MS","37,652"
"Valdez, AK","36,153"
"Savannah, GA","33,971"
"Freeport, TX","32,147"
"St. Louis, MO/IL","31,317"
"Portland, OR","28,472"
"Port Arthur, TX","28,403"
"Seattle, WA","27,974"
"Charleston, SC","26,425"
"Tacoma, WA","26,033"
"Chicago, IL","25,706"
"Richmond, CA","25,629"
"Portland, ME","25,242"
"Port Everglades, FL","24,824"
"Jacksonville, FL","22,210"
"Boston, MA","21,853"
"Marcus Hook, PA","20,093"
"Memphis, TN","19,100"
"Detroit, MI","17,353"
"Oakland, CA","16,642"
"Honolulu, HI","16,224"
"Indiana Harbor, IN","16,164"
"Cleveland, OH","15,187"
"Anacortes, WA","15,147"
"Two Harbors, MN","13,420"
"Cincinnati, OH","13,334"
"San Juan, PR","12,948"